DATE,INV,GDP,CONS,UN1,UN2
01/10/99,2308.637,12323.3,7934.1,4.1,3.84416390939256
01/01/00,2287.827,12359.1,8054.9,4,4.41475983936916
01/04/00,2424.549,12592.5,8132.2,3.9,3.91498139267906
01/07/00,2394.141,12607.7,8211.3,4,4.04641796874953
01/10/00,2395.566,12679.3,8284.4,3.9,3.70778102423355
01/01/01,2285.261,12643.3,8319.4,4.2,4.63593964473031
01/04/01,2277.059,12710.3,8340.8,4.4,4.41378455132095
01/07/01,2236.591,12670.1,8371.2,4.8,4.82226486270371
01/10/01,2126.879,12705.3,8499.1,5.5,5.27476891288065
01/01/02,2202.776,12822.3,8524.6,5.7,6.25517459736237
01/04/02,2224.915,12893,8568.1,5.8,5.81840783661797
01/07/02,2224.612,12955.8,8628,5.7,5.72422283497367
01/10/02,2220.654,12964,8674.4,5.9,5.60905567662425
01/01/03,2239.474,13031.2,8712.5,5.9,6.39840145825264
01/04/03,2251.283,13152.1,8809.5,6.1,6.13735604900561
01/07/03,2330.89,13372.4,8939.4,6.1,6.09912973980060
01/10/03,2413.141,13528.7,9008.8,5.8,5.61147929387453
01/01/04,2414.528,13606.5,9096.4,5.7,6.17483141114900
01/04/04,2500.867,13706.2,9155.5,5.6,5.56539900615200
01/07/04,2539.376,13830.8,9243,5.4,5.45571512928797
01/10/04,2590.616,13950.4,9337.8,5.4,5.19586252939380
01/01/05,2664.359,14099.1,9409.2,5.3,5.70104145837273
01/04/05,2630.506,14172.7,9511.5,5.1,5.08959965624506
01/07/05,2657.863,14291.8,9585.2,5,5.01976024130433
01/10/05,2737.639,14373.4,9621.3,5,4.76546386773999
01/01/06,2773.826,14546.1,9729.2,4.7,5.09958799568854
01/04/06,2755.714,14589.6,9781,4.6,4.66357557067369
01/07/06,2727.6,14602.6,9838.1,4.6,4.70930546717057
01/10/06,2663.03,14716.9,9938.4,4.4,4.28327267655924
01/01/07,2638.528,14726,9990.7,4.5,4.87372401264297
01/04/07,2674.7,14838.7,10024.6,4.5,4.48258959833736
01/07/07,2658.118,14938.5,10069.2,4.7,4.72426613226591
01/10/07,2605.21,14991.8,10081.8,4.8,4.61974201643074
01/01/08,2517.473,14889.5,10061,5,5.32548956855184
01/04/08,2472.623,14963.4,10077.9,5.3,5.31950273949601
01/07/08,2403.773,14891.6,10005.1,6,6.09038051207916
01/10/08,2190.041,14577,9884.7,6.9,6.65472992929336
01/01/09,1937.678,14375,9850.8,8.3,8.92056830210899
01/04/09,1820.549,14355.6,9806.4,9.3,9.24132584026928
01/07/09,1804.679,14402.5,9865.9,9.6,9.70859195677635
01/10/09,1949.553,14541.9,9864.8,9.9,9.64113861578067
01/01/10,2012.899,14604.8,9917.7,9.8,10.53904986605350
01/04/10,2116.907,14745.9,9998.4,9.6,9.64636601640398
01/07/10,2185.703,14845.5,10063.1,9.5,9.60765419418895
01/10/10,2166.144,14939,10166.1,9.5,9.27903995819150
01/01/11,2125.917,14881.3,10217.1,9.1,9.64616731273198
01/04/11,2207.971,14989.6,10237.7,9.1,9.04016598448909
01/07/11,2214.023,15021.1,10282.2,9,9.16625604422209
01/10/11,2373.743,15190.3,10316.8,8.6,8.41281437270444
01/01/12,2413.671,15275,10387.6,8.3,8.76151487305984
01/04/12,2447.991,15336.7,10420.2,8.2,8.10840930884430
01/07/12,2457.71,15431.3,10470.4,8,8.18510378798169
01/10/12,2424.278,15433.7,10520.6,7.8,7.60736093761641
01/01/13,2468.974,15538.4,10613.7,7.7,8.18182367066966
01/04/13,2510.684,15606.6,10660.4,7.5,7.50937913517972
01/07/13,2610.266,15779.9,10713.3,7.2,7.47393759992740
01/10/13,2634.69,15916.2,10811.4,7,6.77575747554466
01/01/14,2588.216,15831.7,10844.3,6.6,7.08229161983248
01/04/14,2703.738,16010.4,10912.6,6.2,6.15104900314126
01/07/14,2750.843,16205.6,10999.5,6.1,6.24784652222930
01/10/14,2776.057,16294.7,11119.6,5.7,5.54023501487309
